episode,steps,reward,last_loss,epsilon,memory_length
1,50,209.0,3.5936949253082275,1.0,50
2,50,204.0,3.4443607330322266,0.95,100
3,50,319.0,2.1479783058166504,0.9025,150
4,40,244.0,2.3437423706054688,0.8573749999999999,190
5,39,238.0,2.5177011489868164,0.8145062499999999,229
